PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;79;4;1;28079004_1_38;2022;3;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;0;N;0;N;3;V;2;V;1;V;2;V
28;79;4;1;28079004_1_38;2022;4;2;V;2;V;2;V;1;N;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;0;N
28;79;4;1;28079004_1_38;2022;5;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;79;4;1;28079004_1_38;2022;6;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;0;N
28;79;4;1;28079004_1_38;2022;7;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;4;V
28;79;4;1;28079004_1_38;2022;8;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V
28;79;4;1;28079004_1_38;2022;9;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;6;V;5;V;5;V;0;N
28;79;4;1;28079004_1_38;2022;10;5;V;6;V;6;V;7;V;6;V;5;V;5;V;6;V;6;V;6;V;6;V;6;V;7;V;7;V;7;V;7;V;6;V;7;V;7;V;6;V;6;V;6;V;6;V;6;V;113;N;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;28079004_1_38;2022;11;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;0;N
28;79;4;6;28079004_6_48;2022;3;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.3;N;0;N;0;N;0.3;V;0.3;V;0.3;V;0.3;V
28;79;4;6;28079004_6_48;2022;4;0.5;V;0.2;V;0.3;V;0.2;N;0.3;V;0.2;N;0.3;V;0.2;N;0.2;V;0.3;V;0.4;V;0.6;V;0.3;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V;0.3;V;0;N
28;79;4;6;28079004_6_48;2022;5;0.3;V;0.2;V;0.2;V;0.2;N;0.2;N;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;79;4;6;28079004_6_48;2022;6;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;N;0;N;0;N;0;N;0;N;0.1;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.1;V;0;N
28;79;4;6;28079004_6_48;2022;7;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.1;V;0.2;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.2;V
28;79;4;6;28079004_6_48;2022;8;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V
28;79;4;6;28079004_6_48;2022;9;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0;N
28;79;4;6;28079004_6_48;2022;10;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.2;V;0.4;V;0.2;V;0.1;V;0.2;V;0.2;V;0.1;V;0.2;V;0.2;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V
28;79;4;6;28079004_6_48;2022;11;0.2;V;0.3;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.3;V;0.2;V;0.4;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.4;V;0.4;V;0.2;V;0.4;V;0.4;V;0;N
28;79;4;7;28079004_7_8;2022;3;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;5;N;0;N;0;N;11;V;5;V;5;V;3;V
28;79;4;7;28079004_7_8;2022;4;4;V;3;V;3;V;2;N;5;V;4;V;5;V;3;V;3;V;6;V;4;V;3;V;11;V;3;V;5;V;6;V;5;V;4;V;8;V;3;V;4;V;3;V;2;V;3;V;12;V;6;V;3;V;14;V;5;V;13;V;0;N
28;79;4;7;28079004_7_8;2022;5;9;V;2;V;2;V;3;V;5;V;3;V;4;V;3;V;8;V;5;V;9;V;3;V;9;V;8;V;2;V;5;V;7;V;12;V;5;V;3;V;3;V;2;V;2;V;3;V;4;V;3;V;4;V;3;V;5;V;2;V;9;V
28;79;4;7;28079004_7_8;2022;6;4;V;4;V;4;V;6;V;2;V;7;V;10;V;6;V;4;V;7;V;3;V;2;V;6;V;11;V;8;V;6;V;3;V;3;V;2;V;3;V;2;V;2;V;2;V;3;V;2;V;2;V;2;V;3;V;7;V;3;V;0;N
28;79;4;7;28079004_7_8;2022;7;3;V;2;V;2;V;5;V;7;V;4;V;3;V;8;V;2;V;5;V;4;V;2;V;10;V;3;V;2;V;2;V;3;V;2;V;2;V;5;V;3;V;5;V;3;V;4;V;2;V;3;V;2;V;6;V;6;V;2;V;4;V
